"scenario","region","technology","mean_Jobs","min_Jobs","max_Jobs"
"CAP-B","Mexico","BECCS",4154076.190962,346173.0159135,10385190.477405
"CAP-B","Mexico","DAC",9011992.566579,9011992.566579,9011992.566579
"CAP-B","Mexico","OEW",1823378.5145486,1823378.5145486,1823378.5145486
"CAP-B","Mexico","TEW",61005.03568154,61005.03568154,61005.03568154
"CAP-B","Middle East","BECCS",6246683.4230904,520556.9519242,15616708.557726
"CAP-B","Middle East","DAC",14097759.553005,14097759.553005,14097759.553005
"CAP-B","Middle East","OEW",3004155.379209,3004155.379209,3004155.379209
"CAP-B","Middle East","TEW",98591.0654094,98591.0654094,98591.0654094
"CAP-B","Pakistan","BECCS",2150563.38811092,179213.61567591,5376408.4702773
"CAP-B","Pakistan","DAC",2364788.612241,2364788.612241,2364788.612241
"CAP-B","Pakistan","OEW",617267.5819338,617267.5819338,617267.5819338
"CAP-B","Pakistan","TEW",58605.37589048,58605.37589048,58605.37589048
"CAP-B","Russia","BECCS",2706256.6401672,225521.3866806,6765641.600418
"CAP-B","Russia","DAC",5622417.284382,5622417.284382,5622417.284382
"CAP-B","Russia","OEW",831002.239791,831002.239791,831002.239791
"CAP-B","Russia","TEW",57714.27266846,57714.27266846,57714.27266846
"CAP-B","South Africa","BECCS",987393.83663652,82282.81971971,2468484.5915913
"CAP-B","South Africa","DAC",1723701.651906,1723701.651906,1723701.651906
"CAP-B","South Africa","OEW",430555.429178,430555.429178,430555.429178
"CAP-B","South Africa","TEW",20676.13058404,20676.13058404,20676.13058404
"CAP-B","South America_Northern","BECCS",1173775.57773096,97814.63147758,2934438.9443274
"CAP-B","South America_Northern","DAC",4174523.980683,4174523.980683,4174523.980683
"CAP-B","South America_Northern","OEW",750640.1669121,750640.1669121,750640.1669121
"CAP-B","South America_Northern","TEW",11483.69516739,11483.69516739,11483.69516739
"CAP-B","South America_Southern","BECCS",3392159.20675788,282679.93389649,8480398.0168947
"CAP-B","South America_Southern","DAC",17590274.624514,17590274.624514,17590274.624514
"CAP-B","South America_Southern","OEW",2806859.2626288,2806859.2626288,2806859.2626288
"CAP-B","South America_Southern","TEW",64495.63266636,64495.63266636,64495.63266636
"CAP-B","South Asia","BECCS",2516923.62427944,209743.63535662,6292309.0606986
"CAP-B","South Asia","DAC",3925026.064116,3925026.064116,3925026.064116
"CAP-B","South Asia","OEW",944451.6298344,944451.6298344,944451.6298344
"CAP-B","South Asia","TEW",48074.40322302,48074.40322302,48074.40322302
"CAP-B","South Korea","BECCS",157783.841557716,13148.653463143,394459.60389429
"CAP-B","South Korea","DAC",919276.69930239,919276.69930239,919276.69930239
"CAP-B","South Korea","OEW",37460.229559854,37460.229559854,37460.229559854
"CAP-B","South Korea","TEW",5048.5570214094,5048.5570214094,5048.5570214094
"CAP-B","Southeast Asia","BECCS",6938801.6176068,578233.4681339,17347004.044017
"CAP-B","Southeast Asia","DAC",11449850.48088,11449850.48088,11449850.48088
"CAP-B","Southeast Asia","OEW",2723607.675524,2723607.675524,2723607.675524
"CAP-B","Southeast Asia","TEW",215373.9674718,215373.9674718,215373.9674718
"CAP-B","Taiwan","BECCS",689716.6102104,57476.3841842,1724291.525526
"CAP-B","Taiwan","DAC",1104169.258899,1104169.258899,1104169.258899
"CAP-B","Taiwan","OEW",312991.790546,312991.790546,312991.790546
"CAP-B","USA","BECCS",18275497.541844,1522958.128487,45688743.85461
"CAP-B","USA","DAC",52693091.88564,52693091.88564,52693091.88564
"CAP-B","USA","OEW",8517859.765832,8517859.765832,8517859.765832
"CAP-B","USA","TEW",387223.8051642,387223.8051642,387223.8051642
"EQP-A-MAIN","Africa_Eastern","BECCS",9243276.6070896,770273.0505908,23108191.517724
"EQP-A-MAIN","Africa_Eastern","DAC",27083464.693344,27083464.693344,27083464.693344
"EQP-A-MAIN","Africa_Eastern","OEW",3601972.201586,3601972.201586,3601972.201586
"EQP-A-MAIN","Africa_Eastern","TEW",131723.5919168,131723.5919168,131723.5919168
"EQP-A-MAIN","Africa_Northern","BECCS",3662257.9690788,305188.1640899,9155644.922697
"EQP-A-MAIN","Africa_Northern","DAC",9177568.661583,9177568.661583,9177568.661583
"EQP-A-MAIN","Africa_Northern","OEW",2206983.0127148,2206983.0127148,2206983.0127148
"EQP-A-MAIN","Africa_Northern","TEW",71058.0567028,71058.0567028,71058.0567028
"EQP-A-MAIN","Africa_Southern","BECCS",4564717.6378092,380393.1364841,11411794.094523
"EQP-A-MAIN","Africa_Southern","DAC",14670168.953493,14670168.953493,14670168.953493
"EQP-A-MAIN","Africa_Southern","OEW",3984962.449383,3984962.449383,3984962.449383
"EQP-A-MAIN","Africa_Southern","TEW",68029.72547832,68029.72547832,68029.72547832
"EQP-A-MAIN","Africa_Western","BECCS",15242997.6174924,1270249.8014577,38107494.043731
"EQP-A-MAIN","Africa_Western","DAC",46883313.07194,46883313.07194,46883313.07194
"EQP-A-MAIN","Africa_Western","OEW",11640997.131602,11640997.131602,11640997.131602
"EQP-A-MAIN","Africa_Western","TEW",392912.856437,392912.856437,392912.856437
"EQP-A-MAIN","Argentina","BECCS",621904.83478392,51825.40289866,1554762.0869598
"EQP-A-MAIN","Argentina","DAC",2300833.308651,2300833.308651,2300833.308651
"EQP-A-MAIN","Argentina","OEW",295120.871398,295120.871398,295120.871398
