"scenario","region","mean_Jobs","min_Jobs","max_Jobs"
"EQP-A-MAIN","Indonesia",14994367.679092,10361564.9358904,22575317.6225128
"EQP-A-MAIN","Japan",5627033.76903094,4265694.86213154,7854679.25304814
"EQP-A-MAIN","Mexico",8695761.8920491,6149717.5181761,12862016.3220231
"EQP-A-MAIN","Middle East",25307204.3506762,19327279.210001,35092536.3990538
"EQP-A-MAIN","Pakistan",20222014.0432708,15482144.0587684,27978164.927002
"EQP-A-MAIN","Russia",8001628.39493336,5903687.73389186,11434622.2039104
"EQP-A-MAIN","South Africa",3881887.05969148,2867889.41359334,5541155.9351248
"EQP-A-MAIN","South America_Northern",2667525.28789524,2119035.47410079,3565054.07410434
"EQP-A-MAIN","South America_Southern",6086137.12873944,4599790.10951589,8518341.34201434
"EQP-A-MAIN","South Asia",21359188.181874,16825564.1180964,28777845.7407828
"EQP-A-MAIN","South Korea",2490377.79910864,1991492.54215944,3306735.49229824
"EQP-A-MAIN","Southeast Asia",27993530.0757734,20350874.5471972,40499693.667989
"EQP-A-MAIN","Taiwan",1355647.87706008,951298.91622173,2017309.81297738
"EQP-A-MAIN","USA",26781594.9372668,19879348.8667228,38076179.4163388
"EQP-B","Africa_Eastern",39942190.750846,31407105.6712854,53908693.6083088
"EQP-B","Africa_Northern",15090081.0347152,11719841.3767091,20605018.656907
"EQP-B","Africa_Southern",23227242.4100753,19010401.3495014,30127527.7819235
"EQP-B","Africa_Western",73970374.3090128,59898037.7960165,96997834.0575522
"EQP-B","Argentina",5786005.03195024,4950916.11816386,7152514.16360068
"EQP-B","Australia_NZ",2995337.8826246,2360098.45099813,4034820.58892246
"EQP-B","Brazil",21152270.9911302,18356132.6107718,25727770.1589894
"EQP-B","Canada",3217544.30922592,2402279.0939568,4551614.66148448
"EQP-B","Central America and Caribbean",6049884.35471896,4310865.17836065,8895552.09785074
"EQP-B","Central Asia",8272271.18391342,6906195.45752321,10507667.8270974
